ID 	 Type 	 Longitude 	 Latitude
D 	 d 	 0.00 	 80.00
S1 	 f 	 0.00 	 0.00
C1 	 c 	 12.74 	 0.12
C2 	 c 	 -14.44 	 -4.71
C3 	 c 	 6.08 	 -4.08
C4 	 c 	 19.04 	 0.77
C5 	 c 	 26.76 	 2.45
C6 	 c 	 7.69 	 -6.04
C7 	 c 	 7.87 	 -2.52
C8 	 c 	 4.4 	 -9.01
C9 	 c 	 -11.32 	 -1.44
C10 	 c 	 -17.81 	 -0.52
C11 	 c 	 26.1 	 -2.51
C12 	 c 	 14.83 	 -4.26
C13 	 c 	 -19.33 	 -2.05
C14 	 c 	 25.45 	 -1.79
C15 	 c 	 -17.92 	 -4.47
C16 	 c 	 12.42 	 -5.17
C17 	 c 	 -14.4 	 -8.93
C18 	 c 	 29.44 	 3.45
C19 	 c 	 -18.05 	 -4.83
C20 	 c 	 8.81 	 3.15
C21 	 c 	 26.01 	 0.26
C22 	 c 	 11.1 	 -4.16
C23 	 c 	 19.59 	 3.87
C24 	 c 	 19.06 	 0.13
C25 	 c 	 27.6 	 1.12
C26 	 c 	 -18.39 	 -3.18
C27 	 c 	 9.58 	 -6.86
C28 	 c 	 28.63 	 -6.38
C29 	 c 	 -11.87 	 2.39
C30 	 c 	 5.39 	 -2.61
C31 	 c 	 -13.38 	 2.1
C32 	 c 	 6.38 	 -4.46
C33 	 c 	 -13.77 	 -7.53
C34 	 c 	 9.76 	 -1.95
C35 	 c 	 -13.45 	 -6.23
C36 	 c 	 -15.38 	 0.63
C37 	 c 	 5.51 	 0.27
C38 	 c 	 14.47 	 2.23
C39 	 c 	 14.32 	 4.29
C40 	 c 	 21.67 	 1.2
C41 	 c 	 -8.19 	 -3.13
C42 	 c 	 13.73 	 -2.81
C43 	 c 	 4.13 	 -0.49
C44 	 c 	 28.7 	 -4.96
C45 	 c 	 -19.07 	 3.2
C46 	 c 	 12.04 	 -5.01
C47 	 c 	 -19.72 	 1.04
C48 	 c 	 1.46 	 -6.81
C49 	 c 	 3.36 	 -8.62
C50 	 c 	 10.86 	 -4.91


Q Vehicle fuel tank capacity /32.0/
r fuel consumption rate /0.2/
TL TourLength /7.5/
v average Velocity /40.0/
m numVeh /13/
seed for generator /1008/

pStart /0/
pAfs /0.5/
pClient /0.5/
